Reference Key;Default Language;pl
lbl.become.an.exhibitor;Become an Exhibitor;Zostań wystawcą
lbl.request.booth;Request This Booth;Zarezerwuj to stoisko
lbl.exhibitor.category;Exhibitor Category;Kategoria wystawcy
lbl.exhibitor.categories;Exhibitor Categories;Kategorie wystawców
msg.sh.exhibitor.category.description;Exhibitor categories and their benefits will be displayed here;Kategorie wystawców i ich korzyści zostaną wyświetlone tutaj
lbl.all.exhibitors;All Exhibitors;wszyscy wystawcy
lbl.my.list;My List;Moja lista
lbl.for.exhibitors;For Exhibitors;Dla wystawców
lbl.share.contact.details;Share Contact Details;Udostępnij dane kontaktowe
msg.share.mobile.number;Share my phone number;Udostępnij mój numer telefonu
msg.share.details.modal.desc;On entering this booth, your name, email address, designation, and company information will be shared with the exhibitor.;Wchodząc do tego stoiska, Twoje imię, adres e-mail, stanowisko i informacje o firmie zostaną udostępnione wystawcy.
msg.exhibitor.inquiry.info;You can edit or delete your inquiries from this page at any time before the event ends.;Możesz edytować lub usuwać swoje zapytania z tej strony w dowolnym momencie przed zakończeniem wydarzenia.
lbl.edit;Edit;Edytuj
lbl.add.session.note;Add Session Notes;Dodaj notatki z sesji
lbl.add.exhibitor.note;Add Exhibitor Notes;Dodaj notatki wystawcy
lbl.add.speaker.note;Add Speaker Notes;Dodaj notatki prelegenta
msg.configure.meeting.slot.for;Configure meeting slot for {day};Skonfiguruj slot spotkania na {day}
lbl.delete.meeting.availability;Delete Meeting Availability;Usuń dostępność spotkania
lbl.lounges;Lounges;Strefy lounge
lbl.all.lounges;All Lounges;Wszystkie strefy lounge
lbl.lounge.background;Lounge Background;Tło strefy lounge
lbl.no.appointments.booked;No Appointments Booked;Brak zarezerwowanych wydarzeń
msg.error.lead.first.name.empty;Please enter the first name;Wprowadź imię
msg.error.user.first.name.invalid;First name can't include < and >;Imię nie może zawierać < i >
msg.error.user.first.name.too.long;First name can't exceed 50 characters;Imię nie może mieć więcej niż 50 znaków
msg.error.user.last.name.too.long;Last name can't exceed 50 characters;Nazwisko nie może mieć więcej niż 50 znaków
msg.error.user.last.name.invalid;Last name can't include < and >;Nazwisko nie może zawierać < i >
msg.error.lead.contact.number.empty;Please enter the contact number;Wprowadź numer kontaktowy
msg.error.user.contact.number.invalid;The contact number can include only numbers;Numer kontaktowy może zawierać tylko cyfry
msg.error.user.contact.number.too.long;Contact number can't exceed 15 characters;Numer kontaktowy nie może mieć więcej niż 15 znaków
msg.error.user.designation.too.long;Designation can't exceed 50 characters;Stanowisko nie może mieć więcej niż 50 znaków
msg.error.user.designation.invalid;Designation can't include < and >;Stanowisko nie może zawierać < ani >
msg.error.user.organization.name.too.long;Organization name can't exceed 50 characters;Nazwa organizacji nie może mieć więcej niż 50 znaków
msg.error.user.organization.name.invalid;Organization name can't include < and >;Nazwa organizacji nie może zawierać < ani >
msg.error.user.msg.invalid;The message can't include < and >;Wiadomość nie może zawierać < i >
msg.error.user.msg.too.long;User message can't exceed 1000 characters;Wiadomość nie może przekraczać 1000 znaków
msg.could.not.find.match.for.search.criteria;We couldn't find anything matching your search criteria.;Nie znaleźliśmy nic pasującego do Twoich kryteriów wyszukiwania.
lbl.enter.booth;Enter Booth;Wejdź do stoiska
lbl.no.results.found;No Results Found;Nie znaleziono wyników
msg.exhibitor.no.description;No description added;Brak opisu
lbl.active.exhibitors;Active Exhibitors;Aktywni wystawcy
msg.back.to.exhibitors;Back to all exhibitors;Wróć do wszystkich wystawców
msg.view.all.exhibitors;View all exhibitors;Zobacz wszystkich wystawców
msg.add.to.my.list;Add to my list;Dodaj do mojej listy
msg.floor.plan.description;Refer to the floor plan to choose your booth for exhibitions;Sprawdź plan piętra, aby wybrać swoje stoisko na wystawach
msg.book.appointment;Book appointment;Umów wizytę
msg.book.appointment.starts.from;You can book appointment with exhibitors from {startDate};Możesz umówić spotkanie z wystawcami od {startDate}
msg.book.meeting;Book a meeting;Zarezerwuj spotkanie
lbl.company.overview;Company Overview;Przegląd firmy
lbl.length;Length;Długość
lbl.breadth;Breadth;Zakres
lbl.height;Height;Wzrost
msg.booth.category.empty;No exhibitor categories configured yet;Nie skonfigurowano jeszcze kategorii wystawców
msg.floor.plan.empty;No floor plan uploaded yet;Nie przesłano jeszcze planu piętra
msg.exhibit.request.sent;Your request has been sent;Twoje zgłoszenie zostało wysłane
msg.notification.exhibit.request;The event organizer will get in touch regarding your request to exhibit at the event through email;Organizator wydarzenia skontaktuje się z Tobą mailowo w sprawie Twojej prośby o wystawienie się na wydarzeniu
lbl.expo.space;Exhibitor Space;Przestrzeń wystawcy
lbl.go.exhibitor.space;Go to Exhibitor Space;Przejdź do przestrzeni wystawcy
lbl.share.details.join;Share Details and Join;Udostępnij dane i dołącz
msg.privileges;Privileges;Uprawnienia
msg.remove.from.my.list;Remove from my list;Usuń z mojej listy
lbl.active;Active;Aktywny
lbl.exhibitor.passes;Exhibitor Passes;Przepustki wystawcy
lbl.online.exhibitor.pass;Online Exhibitor Pass;Bilet wystawcy online
lbl.lead.generation.license;Lead Generation License;Licencja generowania leadów
msg.interested.expo.empty;There are no exhibitors on your list;Nie masz wystawców na swojej liście
msg.interested.exhibitor.login;Sign in to meet with exhibitors.;Zaloguj się, aby spotkać się z wystawcami.
msg.err.company.logo.url.cant.find;Image not found. Please ensure the image is public. If your image is protected by a password, or on an internal network, Backstage cannot access it.;Nie znaleziono obrazu. Upewnij się, że obraz jest publiczny. Jeśli Twój obraz jest chroniony hasłem lub znajduje się w sieci wewnętrznej, Backstage nie ma do niego dostępu.
lbl.booth.no;Booth No;Nr stoiska
lbl.videos;Videos;Filmy
lbl.collaterals;Collaterals;Zabezpieczenia
msg.announcements.ews.visit;Visit the event website to get announcements and updates;Odwiedź stronę wydarzenia, aby otrzymać ogłoszenia i aktualizacje
msg.announcements.sign.in;Sign in to see important announcements;Zaloguj się, aby zobaczyć ważne ogłoszenia
msg.app;Download the app;Pobierz aplikację
msg.app.preview.sign.in;Sign in to preview this event;Zaloguj się, aby zobaczyć to wydarzenie
msg.app.scan.qrcode;Open the app and scan the QR code;Otwórz aplikację i zeskanuj kod QR
msg.attendee.enroll.success;We've assigned your tickets to the correct attendees and sent each one an invitation to register on the event website;Przypisaliśmy Twoje bilety właściwym uczestnikom i wysłaliśmy każdemu zaproszenie do rejestracji na stronie wydarzenia
msg.channel.create.fail;Sorry, we couldn't create the channel due to a temporary issue. Please try again later.;Przepraszam, nie udało się utworzyć kanału z powodu tymczasowego problemu. Spróbuj ponownie później.
msg.channel.desc;Write a short description of the purpose of this channel;Napisz krótki opis celu tego kanału
msg.channel.private.desc;Restricted to invited members only;Ograniczone tylko do zaproszonych uczestników
msg.channel.public.desc;Anyone can join and participate in this channel;Każdy może dołączyć i uczestniczyć w tym kanale
msg.spnsr.ctgry.pick;Choose the sponsor category that best suits your needs;Wybierz kategorię sponsora najlepiej dopasowaną do Twoich potrzeb
msg.copyright.content;{eventYear} {portalName} | Zoho Corporation Pvt. Ltd. All Rights Reserved.;{eventYear} {portalName} | Zoho Corporation Pvt. Ltd. Wszelkie prawa zastrzeżone.
msg.download.attendee.app;Download the attendee app;Pobierz aplikację uczestnika
msg.dscns.buy.ticket.to.join;Buy a ticket to join event-related discussions;Kup bilet, aby dołączyć do dyskusji o wydarzeniu
msg.dscns.login;Meet others and join discussions if you have a ticket;Poznaj innych i dołącz do dyskusji, jeśli masz bilet
msg.dscns.no.ticket;Hello {userName}, this space is for attendees to join channels and engage in discussions.;Cześć {userName}, to miejsce dla uczestników dołączających do kanałów i biorących udział w dyskusjach.
msg.err.attendee.enroll;One or more of your friends already has a ticket;Jeden lub więcej twoich znajomych ma już bilet
msg.err.chat.upload;Oops, we couldn't attach an image to your message. Please try again in a couple of seconds.;Ups, nie udało się dołączyć obrazu do Twojej wiadomości. Spróbuj ponownie za kilka sekund.
msg.err.chnl.loading;Sorry, we could not fetch your discussion channels. Please refresh the page to try again.;Nie udało się pobrać Twoich kanałów dyskusji. Odśwież stronę, aby spróbować ponownie.
msg.file.desktop.upload;*A file has been shared with you;Udostępniono Ci plik
msg.gallery.back;Back to gallery;Wróć do galerii
msg.gallery.cmnt.text;Say something nice...;Powiedz coś miłego...
msg.gallery.img.del;File deleted;Plik usunięty
msg.gallery.img.fail;File upload failed;Nie udało się przesłać pliku
msg.gallery.imgs.fail;Files couldn't be uploaded. Kindly try after a while.;Nie udało się przesłać plików. Spróbuj ponownie za chwilę.
msg.gallery.img.upld;File uploaded;Plik przesłany
msg.gallery.imgs.del;{number} Files deleted;Usunąłeś {number} plików
msg.gallery.imgs.upld;Multiple files uploaded;Przesłałeś wiele plików
msg.gallery.imgs.upld.fail;Some files couldn't be uploaded;Niektórych plików nie udało się przesłać
msg.get.in.touch;Get in touch;Skontaktuj się
msg.img.delete.confirm;This action will remove the file from the gallery permanently.;Ta akcja trwale usunie plik z galerii.
msg.imgs.delete.confirm;This action will remove the files from the gallery permanently.;Ta akcja trwale usunie pliki z galerii.
success.response.submitted;Response submitted;Odpowiedź wysłana
msg.my.session.login;Sign in to start personalizing your agenda;Zaloguj się, aby personalizować swoją agendę
msg.people.multiple.typing;{user1}, {user2} and {count} others are typing...;{user1}, {user2} i {count} innych pisze...
msg.people.multiple.uploading;{user1}, {user2} and {count} others are uploading...;{user1}, {user2} i {count} innych przesyła...
msg.people.two.typing;{user1} and {user2} are typing...;{user1} i {user2} piszą...
msg.people.two.uploading;{user1} and {user2} are uploading...;{user1} i {user2} przesyłają...
msg.person.typing;{user} is typing...;{user} pisze...
msg.person.uploading;{user} is uploading...;{user} przesyła...
msg.reassign.tickets.mobile.help.text;"You have {extraTicketCount} more tickets. To assign tickets to other people, please visit the event <a href=""{siteUrl}"">website</a>.";"Masz jeszcze {extraTicketCount} biletów. Aby przypisać bilety innym osobom, odwiedź <a href=""{siteUrl}"">stronę wydarzenia</a>."
msg.sales.not.started;Sales haven't started yet;Sprzedaż jeszcze się nie rozpoczęła
msg.session.filter.empty;No sessions match this filter;Brak sesji spełniających ten filtr
msg.speaker.sessions.empty;No sessions associated to you yet;Nie masz jeszcze przypisanych sesji
msg.error.loading.speaker.sessions;Sorry, your sessions could not be loaded. Please login if not logged in and refresh the page to try again.;Nie udało się załadować twoich sesji. Zaloguj się, jeśli nie jesteś zalogowany, i odśwież stronę, aby spróbować ponownie.
msg.session.venue.tba;Venue: TBA;Miejsce: do ustalenia
msg.sessions;Featured sessions;polecane sesje
msg.sessions.empty.today;No sessions scheduled for this day;Brak zaplanowanych sesji na ten dzień
msg.sh.es.evt.description;Wondering what to expect? We'll tell you shortly.;Zaraz wszystkiego się dowiesz.
msg.sh.es.featured.speakers;Our exciting speaker lineup will be announced soon;Niebawem ogłosimy listę prelegentów
msg.sh.es.featured.sessions;Stay tuned for interesting picks from our schedule.;Bądź na bieżąco z ciekawymi propozycjami z naszego harmonogramu.
msg.sh.es.gallery;We'll share pictures from <strong>{eventName}</strong> soon. Keep an eye on this space.;Wkrótce udostępnimy zdjęcia z <strong>{eventName}</strong>. Zaglądaj tu regularnie.
msg.sh.es.custom.page;This page hasn't been updated yet;Ta strona nie została jeszcze zaktualizowana
msg.sh.es.login;Interested in attending the event?;Zainteresowany udziałem w wydarzeniu?
msg.sh.es.sessions;The schedule will be up in a short while. Stay tuned!;Harmonogram pojawi się za chwilę. Bądź na bieżąco!
msg.sh.es.speakers;Our speaker lineup will be announced soon;Nasz skład prelegentów zostanie ogłoszony wkrótce
msg.sh.es.sponsors;Our sponsor lineup will be announced soon;Nasi sponsorzy zostaną ogłoszeni wkrótce
msg.sh.es.participants;Participants from the event will be listed here;Uczestnicy z wydarzenia będą tu wyświetleni
lbl.company.name;Company Name;Nazwa firmy
lbl.company;Company;Firma
msg.sh.es.venue;We've almost finalized our venue. Watch this spot.;Prawie wybraliśmy miejsce. Śledź to miejsce.
msg.venue.location.meta;{city}, {state} - {country};{city}, {state} - {country}
msg.sh.get.in.touch;Got questions? Write to us.;Masz pytania? Napisz do nas.
msg.thank.support;Thank you for your support;Dziękuję za wsparcie
msg.thank.sponsor.request.interest.sub.header;We've received your sponsor request. Our team will get back to you shortly. Thank you for your patience!;Otrzymaliśmy Twoją prośbę sponsorską. Nasz zespół wkrótce się z Tobą skontaktuje. Dziękujemy za cierpliwość!
msg.tickets.evt.none;You haven't purchased tickets for this event;Nie kupiłeś biletów na to wydarzenie
msg.tickets.sales.yet.start;Ticket sales for {eventName} haven't started yet;Sprzedaż biletów na {eventName} jeszcze się nie rozpoczęła
msg.tkt.atndee.anon.thnk;Hello <b>{userName}</b>, thank you for reserving your seat at <b>{eventName}</b>. An account has been created for the email address <b>{userEmailId}</b>.<br><br>Check your inbox and verify your email address to personalize your agenda and receive important announcements.;Cześć <b>{userName}</b>, dziękujemy za rezerwację miejsca na <b>{eventName}</b>. Utworzyliśmy konto dla adresu e-mail <b>{userEmailId}</b>.<br><br>Sprawdź skrzynkę odbiorczą i zweryfikuj adres e-mail, aby spersonalizować swoją agendę i otrzymywać ważne ogłoszenia.
msg.tkt.atndee.enter.email;Enter attendee email address;Wprowadź adres e-mail uczestnika
msg.tkt.atndee.logd.in.thnk;Hello <b>{userName}</b>, thank you for buying a ticket to <b>{eventName}</b>. Head over to <i>Your Tickets</i> to view the details at any time.<br><br>Meanwhile, would you like to personalize your agenda?;Cześć <b>{userName}</b>, dziękujemy za zakup biletu na <b>{eventName}</b>. Przejdź do <i>Twoje bilety</i>, aby w każdej chwili zobaczyć szczegóły.<br><br>Czy chcesz spersonalizować swoją agendę?
