Reference Key;Default Language;pl
msg.tkt.purchaser.logd.in.thnk;Hello <b>{userName}</b>, your ticket order for <b>{eventName}</b> has been placed. Each guest should verify their email address and check their inbox for event-related announcements. <br><br>As the purchaser, you can view ticket details or reassign tickets in <i>Your Tickets<i>.;
msg.upld.on;Uploaded on {date};
msg.venue.direction.from;Get directions from;
msg.venue.direction.placeholder;Enter a place, street, city, etc.;
msg.venue.hotel.distance;Just {distance} {unit} away;
msg.venue.hotel.walkable;Within walking distance;
msg.view.all.announcements;View all announcements;
msg.view.more.comments;View {commentsCount} more comments;
lbl.profile.settings;Profile Settings;
lbl.add.members;Add Members;
lbl.overview;Overview;
lbl.add.new;Add New;
lbl.all;All;
lbl.all.tracks;All Tracks;
lbl.announcements;Announcements;
lbl.alternative.phone.number;Alternative Phone Number;
lbl.basic;Basic;
lbl.blockquote;Blockquote;
lbl.bold;Bold;
lbl.header;Header;
lbl.size;Size;
lbl.list.ordered;List Ordered;
lbl.list.bullet;List Bullet;
lbl.align;Align;
lbl.line.height;Line Height;
lbl.text.transform;Text Transform;
lbl.color;Color;
lbl.background;Background;
lbl.script.sub;Script Sub;
lbl.script.super;Script Super;
lbl.clean;Clean;
lbl.browse;Browse;
lbl.channels;Channels;
lbl.choose.members;Choose Members;
lbl.coming.soon;Coming Soon;
lbl.comment;Comment;
lbl.comments;Comments;
lbl.configure.sponsor.category;Configure Sponsor Category;
lbl.configure.tickets;Configure Tickets;
lbl.created.by;Created By;
lbl.designation;Designation;
lbl.delete;Delete;
lbl.discount;Discount;
lbl.discount.applied;Discount Applied;
lbl.guest;Guest;
lbl.copy;Copy;
lbl.description;Description;
lbl.details;Details;
lbl.drag.and.drop;Drag & Drop;
lbl.drop.here;Drop Here;
lbl.channel.edit;Edit Channel;
lbl.email;Email;
lbl.enter.valid.url;Enter a Valid URL;
lbl.facebook.profile;Facebook Profile;
lbl.free;Free;
lbl.donation;Donation;
lbl.general;General;
lbl.hotel.group.code;Group Code;
lbl.inline;Inline;
lbl.italic;Italic;
lbl.join;Join;
lbl.km;KM;
lbl.allow;Allow;
lbl.running;Running;
lbl.like;Like;
lbl.dislike;Dislike;
lbl.liked;Liked;
lbl.likes;Likes;
lbl.link;Link;
lbl.linkedin.profile;LinkedIn Profile;
lbl.markdown;Markdown;
lbl.markdown.help;Markdown Help;
lbl.members;Members;
lbl.miles;Mi;
lbl.mobile;Mobile;
lbl.mobile.attendee.app;Mobile Attendee App;
lbl.mobile.web.preview;Mobile Web Preview;
lbl.running.sessions;Running Sessions;
lbl.name;Name;
lbl.first.name;First Name;
lbl.last.name;Last Name;
lbl.native;Native;
lbl.new;New;
lbl.no.description;No Description;
lbl.order.id;Order ID;
lbl.on;On;
lbl.organization;Organization;
lbl.post;Post;
lbl.preview.mobile.attendee.app;Preview Your Mobile Attendee App;
lbl.private;Private;
lbl.profile;Profile;
lbl.profile.photo;Profile Photo;
lbl.public;Public;
lbl.result;Result;
lbl.save;Save;
lbl.send;Send;
lbl.verify;Verify;
lbl.session.common;Common for All Tracks;
lbl.twitter.page;X;
lbl.facebook.page;Facebook;
lbl.youtube.page;YouTube;
lbl.linkedin.page;LinkedIn;
lbl.tiktok;TikTok;
lbl.instagram;Instagram;
lbl.share;Share;
lbl.share.it.on;Share It On;
lbl.sign.out;Sign Out;
lbl.skills;Skills;
lbl.add;Add;
lbl.social.profiles;Social Profiles;
lbl.amount;Amount;
lbl.sponsor.type;Sponsor Type;
lbl.strike;Strike;
lbl.tba;TBA;
lbl.text;Text;
lbl.ticket;Ticket;
lbl.tickets;Tickets;
lbl.n.ticket;{number} Ticket;
lbl.n.tickets;{number} Tickets;
lbl.tickets.not.configured;Tickets Not Configured;
lbl.time;Time;
lbl.time.to.be.announced;Time - TBA;
lbl.to.be.announced;To Be Announced;
lbl.twitter.profile;X Profile;
lbl.instagram.profile;Instagram Profile;
lbl.upload;Upload;
lbl.uploading;Uploading;
lbl.processing;Processing;
msg.error.upload.unsupported.file;You have selected an unsupported file. Please recheck the file and try uploading again.;
msg.error.upload.invalid.fileextension;The file extension of your file is not supported.;
lbl.url;URL;
lbl.venue;Venue;
lbl.view;View;
lbl.web;Web;
lbl.website.url;Website URL;
lbl.yes;Yes;
lbl.about.session;About Session;
lbl.all.sessions;All Sessions;
lbl.by.speaker;By Speaker;
lbl.by.sessions;By Sessions;
lbl.by.tracks;By Tracks;
lbl.channel.access;Channel Access;
lbl.channel.create;Create Channel;
lbl.channel.list;Channel List;
lbl.channel.name;Channel Name;
lbl.channels.avl;Available Channels;
lbl.keynote;Keynote;
lbl.msg;Message;
lbl.no;No;
lbl.presentation;Presentation;
lbl.present;Present;
lbl.materials;Materials;
lbl.welcome.note;Welcome Note;
lbl.registration;Registration;
lbl.breakfast;Breakfast;
lbl.break;Break;
lbl.lunch;Lunch;
lbl.tea;Tea;
lbl.reception;Reception;
lbl.other;Other;
lbl.dinner;Dinner;
lbl.edit.this.comment;Edit This Comment;
lbl.delete.this.comment;Delete This Comment;
lbl.attendee;Attendee;
lbl.prospect;Prospect;
lbl.organizer;Organizer;
lbl.staff;Staff;
lbl.actual.amount;Actual Amount;
lbl.total.amount;Total Amount;
lbl.tax;Tax;
lbl.tax.inclusive;Tax Inclusive;
lbl.total.discount;Total Discount;
msg.no.of.tickets.redeemed.for;For {noOfTicketsRedeemed};
msg.announcement.comment.placeholder;Add a comment;
msg.announcement.delete.confirm;This action will delete the announcement.;
msg.channel.description.invalid;There are unsupported characters in your description;
msg.error.channel.enter.name;Please enter a channel name;
msg.channel.name.invalid;Your channel name contains invalid characters;
msg.channel.name.too.long;The channel name cannot exceed 255 characters;
msg.comment.delete.confirm;Do you want to delete this comment?;
msg.error.comment.msg.empty;Please enter a comment;
msg.error.currency.code;Please select your currency type;
msg.duplicate.channel;Channel with name {channelName} already exists;
msg.email.id.enter;You have not entered an email address;
msg.enter.name;Enter a name;
msg.error.email;Please enter the valid email;
msg.error.email.required;Email is a required field;
msg.error.upload.max.images.limit;You can't upload more than {{maxLimit}} images.;
msg.error.message;Please enter a valid message to the event organizer;
msg.error.msg.required;Please enter a message to event organizer;
msg.error.name;Please enter valid name;
msg.error.name.required;Please enter a name;
msg.error.phone.number;Please enter a valid phone number;
msg.error.site.section.reorder;Sorry, community site sections cannot be reordered right now. Please refresh the page to try again.;
msg.error.sponsor.amount.enter;Please enter the sponsor amount;
msg.error.sponsors.loading;Sorry, your sponsors list couldn't be loaded. Please refresh the page to reload it.;
msg.error.sponsor.company.name.empty;Please enter the sponsor company name;
msg.error.sponsor.min.amount;The minimum sponsor amount for the selected sponsor category is {amount};
msg.error.sponsor.first.name.empty;Please enter the name of your sponsor;
msg.error.upload.file.extn.invalid;{fileExtn} is not a supported image type;
msg.error.upload.file.limit;Maximum limit of {maxFiles} files reached. Files exceeding this limit have not been uploaded;
msg.error.upload.file.size.exceeded;Your file size cannot be more than {maxFileSize};
msg.event.member.no.skills;Skills have not been added;
msg.event.member.no.social.links;Social media profiles have not been added;
msg.error.sponsor.company.name.long;Company name can't exceed 255 characters;
msg.error.sponsor.company.name.invalid;Please enter a valid company name;
msg.error.sponsor.first.name.invalid;"Name can't include "", <, or >.";
msg.error.sponsor.first.name.long;The sponsor's first name can't exceed 255 characters;
msg.file.comment.too.long;Your comment cannot exceed 150 characters;
msg.error.sponsor.logo.url.invalid;Please enter a valid URL for the sponsor logo;
msg.error.sponsor.url.invalid;Enter a valid URL for the website of your sponsor;
msg.no.announcements.yet;No announcements yet;
msg.announcement.desktop.notification;ANNOUNCEMENT;
msg.poll.desktop.notification;Poll Started;
msg.sales.start;Sales start on <b>{startDate}</b>;
msg.error.sponsor.amount.invalid;Amount should be a number;
msg.error.sponsor.logo.url.empty;Please enter a URL for the sponsor logo;
msg.error.sponsor.logo.url.long;URL can't exceed 1000 characters;
msg.error.sponsor.website.url.long;The URL for the website of your sponsor cannot exceed 1000 characters;
msg.ticket.lookup.failed;Sorry, we could not fetch ticket information for the selected event. Please contact our support team to resolve the issue.;
msg.venue.search.query.enter;Please enter a search query;
msg.venue.search.query.not.found;Venue not found;
msg.twitter.sample.placeholder;https://www.x.com/xyz;
msg.instagram.sample.placeholder;https://www.instagram.com/xyz;
msg.facebook.sample.placeholder;https://www.facebook.com/xyz;
msg.linkedin.sample.placeholder;https://www.linkedin.com/in/xyz;
msg.twitter.handle.not.valid;Please enter a valid X URL;
msg.twitter.handle.too.long;X URL cannot exceed 40 characters;
msg.tiktok.url.invalid;Invalid tiktok URL;
msg.tiktok.url.too.long;TikTok URL exceeded max length;
msg.tiktok.sample.placeholder;https://www.tiktok.com/xyz;
msg.facebook.username.not.valid;Please enter a valid Facebook URL;
msg.facebook.username.too.long;Facebook URL cannot exceed 100 characters;
msg.instagram.username.not.valid;Please enter a valid Instagram URL;
msg.instagram.username.too.long;Instagram URL cannot exceed 150 characters;
msg.valid.linkedin.profile;The Linkedin URL you entered is invalid;
msg.linkedin.profile.too.long;The Linkedin URL cannot exceed 125 characters;
msg.link.url.too.long;URL cannot exceed 200 characters;
msg.network.connect.error;Unable to reach the server. Please check your network connection and try reconnecting.;
msg.valid.show.time.profile.url;The ShowTime profile URL you entered is invalid;
msg.show.time.profile.url.too.long;The ShowTime profile URL cannot exceed 100 characters;
msg.session.bookmarked.none;Sessions that you wish to follow closely will be listed here. Go ahead, add a session from the timeline.;
msg.session.description.tba;We'll have a description here soon;
lbl.your.tkt.details;Your Ticket Details;
msg.gallery.cmnt.before.login;Sign in to say something nice;
msg.gallery.cmnt.first;Be the first to say something nice :);
lbl.phone.no;Ph. No;
lbl.purchased.on;Purchased On;
msg.prospect.no.tkt.found;You have no tickets for this event;
msg.prospect.no.tkt.sales.start;Hey, ticket sales are yet to start for <b>{eventName}</b>. <b>{ticketType}</b> ticket sales start soon. Come back on <b>{ticketSalesStartDate}</b> and buy a ticket!;
msg.prospect.no.tkt.sales.end;Sorry, ticket sales have ended for this event. Still interested in attending?;
msg.prospect.no.tkt.event.end;Sorry, <b>{eventName}</b> has ended. Contact <b>{eventOrganizerEmailID}</b> for future events.;
lbl.channel.delete;Delete Channel;
msg.channel.delete;Deleting a channel will delete all its messages. Do you still want to continue?;
msg.channel.delete.success;{channelName} deleted successfully.;
msg.channel.delete.fail;Cannot delete {channelName}. Please try again later.;
lbl.private.channel;Private Channel;
lbl.public.channel;Public Channel;
lbl.my.channel;My Channel;
msg.event.no.ticket.header;No tickets;
msg.event.ticket.sales.ended.subheader;Ticket sales for this event have ended;
msg.ticket.sales.yet.to.begin.subheader;Ticket sales are yet to begin;
msg.event.ticket.sales.closed.subheader;Ticket sales for this event are closed;
msg.event.ticket.sold.out.subheader;Ticket for this event are sold out;
msg.tickets.sales.closed.header;Tickets sales closed;
msg.event.has.ended.subheader;There are no ticket sales as the event has ended;
lbl.joined;Joined;
lbl.invited;Invited;
msg.avl.channel.empty;You are already part of all available channels;
msg.joined.channel.empty;You have not yet joined any channel. Please join a channel and start discussing;
lbl.create;Create;
msg.say.something.nice;Say something nice;
msg.channel.msg.markdown;Oh! You may <strong>**bold**</strong>, <em>_italic_</em>, <del> ~~strike~~ </del>,<code>`highlight`</code>;
msg.join.channel;You have not yet joined <strong>{channelName}</strong> channel. Please join channel and start discussing.;
msg.channel.markdown.help.txt;<strong>**bold**</strong>, <em>_italic_</em>, <del> ~~strike~~ </del>,<code>`highlight`</code>;
msg.channel.empty;No channels available. Create one.;
lbl.view.all;View All;
lbl.leave;Leave;
lbl.leave.channel;Leave Channel?;
msg.leave.private.channel;This action will remove you from this private discussion channel. You will not be able to join back unless someone adds you again.;
lbl.result;Result;
lbl.results;Results;
lbl.clear.filter;Clear Filter;
lbl.clear.filters;Clear Filters;
lbl.tracks;Tracks;
lbl.session.category;Session Category;
lbl.session.venue;Session Venue;
lbl.session.tags;Session Tags;
lbl.print.agenda;Print Agenda;
lbl.delete.img;Delete Image?;
lbl.delete.imgs;Delete Images?;
msg.announcement.empty;No notifications;
lbl.filter;Filter;
lbl.apply.filter;Apply Filter;
lbl.my.account;My Account;
lbl.my.tickets;My Tickets;
lbl.featured.session;Featured Session;
lbl.featured.speaker;Featured Speaker;
lbl.speaker.sessions;{speakerName}'s Sessions;
lbl.session;Session;
lbl.speaker;Speaker;
lbl.photograph;Photograph;
lbl.sessions;Sessions;
lbl.speakers;Speakers;
lbl.skills;Skills;
lbl.photos;Photographs;
lbl.photos.count;{count} Files;
lbl.file.count;1 File;
lbl.available;Available;
